-0.499996 	0.994594 	0.994762
-0.499965 	0.994594 	0.994762
-0.499904 	0.994594 	0.994762
-0.499812 	0.994595 	0.994763
-0.499688 	0.994596 	0.994763
-0.499535 	0.994598 	0.994765
-0.49935 	0.9946 	0.994767
-0.499134 	0.994602 	0.994769
-0.498888 	0.994605 	0.994771
-0.49861 	0.994609 	0.994774
-0.498302 	0.994612 	0.994778
-0.497962 	0.994617 	0.994781
-0.497591 	0.994621 	0.994785
-0.497189 	0.994626 	0.994789
-0.496756 	0.994631 	0.994794
-0.496292 	0.994637 	0.994799
-0.495795 	0.994643 	0.994804
-0.495268 	0.994649 	0.99481
-0.494709 	0.994655 	0.994817
-0.494118 	0.994662 	0.994823
-0.493495 	0.994669 	0.99483
-0.49284 	0.994676 	0.994837
-0.492153 	0.994685 	0.994846
-0.491434 	0.994696 	0.994857
-0.490682 	0.994706 	0.994865
-0.489898 	0.994717 	0.994875
-0.489081 	0.994727 	0.994884
-0.488231 	0.994741 	0.994897
-0.487349 	0.994755 	0.994911
-0.486433 	0.994767 	0.994922
-0.485483 	0.99478 	0.994934
-0.4845 	0.994796 	0.99495
-0.483483 	0.994812 	0.994969
-0.482433 	0.994821 	0.994982
-0.481348 	0.994832 	0.994998
-0.480228 	0.994854 	0.99502
-0.479074 	0.994872 	0.99504
-0.477885 	0.994889 	0.995058
-0.47666 	0.994916 	0.995083
-0.4754 	0.994943 	0.995108
-0.474105 	0.994971 	0.99513
-0.472773 	0.995003 	0.995159
-0.471405 	0.995035 	0.995188
-0.47 	0.995067 	0.99522
-0.468558 	0.995103 	0.995255
-0.467078 	0.995138 	0.995292
-0.465561 	0.995173 	0.99533
-0.464006 	0.99521 	0.99537
-0.462413 	0.995259 	0.995417
-0.46078 	0.995307 	0.995462
-0.459108 	0.995356 	0.995509
-0.457397 	0.995402 	0.995551
-0.455645 	0.995451 	0.9956
-0.453853 	0.995489 	0.995642
-0.452019 	0.995538 	0.99569
-0.450144 	0.99558 	0.995732
-0.448227 	0.995633 	0.995782
-0.446267 	0.995684 	0.995829
-0.444264 	0.995738 	0.995883
-0.442217 	0.995789 	0.995933
-0.440125 	0.995834 	0.995979
-0.437988 	0.995873 	0.996019
-0.435806 	0.995914 	0.996063
-0.433577 	0.99596 	0.996111
