-0.98436 1.11030
-0.94740 1.10579
-0.91045 1.10504
-0.88191 1.10670
-0.67927 1.10118
-0.64512 1.09767
-0.60816 1.09406
-0.57121 1.09271
-0.53762 1.08978
-0.49055 1.07887
-0.45518 1.05491
-0.42812 1.01212
-0.40517 0.97647
-0.39321 0.94093
-0.38312 0.90021
-0.37375 0.87040
-0.35898 0.82187
-0.34476 0.77045
-0.33651 0.72818
-0.32928 0.68897
-0.31933 0.64248
-0.30706 0.60211
-0.29881 0.55844
-0.28649 0.50864
-0.27958 0.46535
-0.27101 0.42592
-0.26245 0.38925
-0.25388 0.35148
-0.23847 0.28447
-0.22907 0.24684
-0.21630 0.20879
-0.20437 0.16867
-0.19580 0.12979
-0.18387 0.09146
-0.17364 0.05672
-0.16172 0.02019
-0.14982 -0.01386
-0.13788 -0.05532
-0.11758 -0.08814
-0.09554 -0.13518
-0.08199 -0.16055
-0.04486 -0.20356
-0.00785 -0.21755
0.02904 -0.20778
0.06416 -0.17610
0.09083 -0.13270
0.11795 -0.09500
0.12746 -0.06340
0.14242 -0.02875
0.15232 0.01095
0.16558 0.04922
0.17885 0.08485
0.19043 0.12441
0.20200 0.16371
0.21356 0.20713
0.22186 0.22823
0.24821 0.34348
0.25808 0.38870
0.26469 0.41352
0.31240 0.63355
0.32061 0.67325
0.32712 0.72123
0.34371 0.76507
0.35779 0.80746
0.36348 0.84872
0.37501 0.89962
0.38991 0.94755
0.40655 0.97964
0.42483 1.02287
0.45322 1.05812
0.49006 1.07992
0.52696 1.08865
0.56389 1.09060
0.60082 1.09331
0.63776 1.09346
0.67470 1.09466
0.71163 1.09677
0.74856 1.09903
0.78550 1.10023
0.82243 1.10263
0.85936 1.10339
0.89630 1.10339
0.93325 1.10339
0.97019 1.10339
0.99202 1.10173

