#      x          Cp  
     1.00000    0.19321
     0.99072    0.17006
     0.97797    0.14669
     0.96441    0.12239
     0.95067    0.09798
     0.93693    0.07375
     0.92316    0.04870
     0.90938    0.02345
     0.89560   -0.00166
     0.88193   -0.02699
     0.86823   -0.05132
     0.85454   -0.07589
     0.84085   -0.10017
     0.82717   -0.12519
     0.81348   -0.14955
     0.79981   -0.17491
     0.78630   -0.19943
     0.77268   -0.22476
     0.75893   -0.24980
     0.74517   -0.27386
     0.73136   -0.29987
     0.71755   -0.32484
     0.70380   -0.35029
     0.69002   -0.37605
     0.67622   -0.40208
     0.66238   -0.42733
     0.64854   -0.45267
     0.63473   -0.47839
     0.62098   -0.50363
     0.60722   -0.52935
     0.59345   -0.55582
     0.57976   -0.58248
     0.56621   -0.60735
     0.55253   -0.63169
     0.53888   -0.65842
     0.52518   -0.68348
     0.51139   -0.70963
     0.49763   -0.73571
     0.48388   -0.76015
     0.47018   -0.77997
     0.45645   -0.79649
     0.44262   -0.81221
     0.42881   -0.82236
     0.41492   -0.83748
     0.40103   -0.84862
     0.38727   -0.85890
     0.37355   -0.87199
     0.35978   -0.87935
     0.34593   -0.89009
     0.33202   -0.89967
     0.31811   -0.91050
     0.30422   -0.92444
     0.29046   -0.93632
     0.27675   -0.95130
     0.26298   -0.96609
     0.24914   -0.98155
     0.23530   -0.99782
     0.22162   -1.01777
     0.20801   -1.03679
     0.19444   -1.05803
     0.18071   -1.07765
     0.16693   -1.10352
     0.15326   -1.12833
     0.13967   -1.16743
     0.12601   -1.21441
     0.11243   -1.26623
     0.09896   -1.31810
     0.08557   -1.36360
     0.07228   -1.43833
     0.05913   -1.59490
     0.04639   -1.74759
     0.03408   -1.85795
     0.02310   -2.26656
     0.01491   -3.01117
     0.00938   -3.69890
     0.00567   -4.63320
     0.00322   -5.49484
     0.00170   -4.99546
     0.00083   -3.53752
     0.00026   -4.29133
     0.00000   -4.26442
     0.00036   -1.61834
     0.00128   -0.06289
     0.00257    0.42222
     0.00446    0.83290
     0.00739    1.01808
     0.01171    1.02689
     0.01815    0.95972
     0.02754    0.87093
     0.03948    0.77551
     0.05235    0.68589
     0.06557    0.62237
     0.07910    0.57098
     0.09275    0.51860
     0.10643    0.47369
     0.12012    0.43847
     0.13384    0.40824
     0.14766    0.38138
     0.16151    0.35391
     0.17536    0.32862
     0.18916    0.30473
     0.20291    0.28357
     0.21663    0.26443
     0.23046    0.24771
     0.24432    0.23059
     0.25824    0.21394
     0.27214    0.19867
     0.28596    0.18445
     0.29960    0.17069
     0.31314    0.15787
     0.32693    0.14573
     0.34060    0.13220
     0.35443    0.12058
     0.36832    0.10849
     0.38223    0.09775
     0.39614    0.08795
     0.41005    0.07903
     0.42395    0.06955
     0.43779    0.06270
     0.45165    0.05628
     0.46555    0.04973
     0.47940    0.04855
     0.49319    0.04729
     0.50688    0.05061
     0.52054    0.05226
     0.53437    0.05620
     0.54827    0.06013
     0.56222    0.06381
     0.57617    0.06831
     0.59007    0.07267
     0.60398    0.07811
     0.61790    0.08332
     0.63183    0.08917
     0.64576    0.09496
     0.65968    0.10052
     0.67363    0.10704
     0.68758    0.11303
     0.70149    0.11746
     0.71528    0.12234
     0.72915    0.15065
     0.74302    0.15621
     0.75689    0.15969
     0.77081    0.16654
     0.78466    0.17272
     0.79849    0.18137
     0.81242    0.18981
     0.82637    0.19911
     0.84030    0.20559
     0.85425    0.21287
     0.86820    0.21775
     0.88207    0.22672
     0.89590    0.23618
     0.90970    0.24772
     0.92351    0.25873
     0.93727    0.26696
     0.95096    0.26790
     0.96452    0.26191
     0.97792    0.24402
     0.99065    0.20900
     1.00000    0.19321
