#      x          Cp  
     1.00000    0.21168
     0.99072    0.18011
     0.97797    0.15236
     0.96441    0.12576
     0.95067    0.10062
     0.93693    0.07686
     0.92316    0.05263
     0.90938    0.02879
     0.89560    0.00564
     0.88193   -0.01760
     0.86823   -0.03913
     0.85454   -0.06086
     0.84085   -0.08204
     0.82717   -0.10410
     0.81348   -0.12510
     0.79981   -0.14730
     0.78630   -0.16838
     0.77268   -0.19032
     0.75893   -0.21169
     0.74517   -0.23175
     0.73136   -0.25407
     0.71755   -0.27497
     0.70380   -0.29636
     0.69002   -0.31795
     0.67622   -0.33972
     0.66238   -0.36044
     0.64854   -0.38116
     0.63473   -0.40219
     0.62098   -0.42256
     0.60722   -0.44330
     0.59345   -0.46467
     0.57976   -0.48614
     0.56621   -0.50559
     0.55253   -0.52425
     0.53888   -0.54534
     0.52518   -0.56440
     0.51139   -0.58441
     0.49763   -0.60421
     0.48388   -0.62222
     0.47018   -0.63551
     0.45645   -0.64545
     0.44262   -0.65459
     0.42881   -0.65798
     0.41492   -0.66635
     0.40103   -0.67051
     0.38727   -0.67372
     0.37355   -0.67961
     0.35978   -0.67951
     0.34593   -0.68252
     0.33202   -0.68398
     0.31811   -0.68626
     0.30422   -0.69114
     0.29046   -0.69354
     0.27675   -0.69845
     0.26298   -0.70247
     0.24914   -0.70640
     0.23530   -0.71027
     0.22162   -0.71681
     0.20801   -0.72147
     0.19444   -0.72709
     0.18071   -0.72965
     0.16693   -0.73620
     0.15326   -0.73978
     0.13967   -0.75363
     0.12601   -0.77081
     0.11243   -0.78818
     0.09896   -0.80079
     0.08557   -0.80196
     0.07228   -0.81874
     0.05913   -0.88653
     0.04639   -0.92874
     0.03408   -0.90557
     0.02310   -1.04584
     0.01491   -1.35952
     0.00938   -1.53084
     0.00567   -1.73583
     0.00322   -1.80021
     0.00170   -1.31258
     0.00083   -0.52917
     0.00026   -0.24427
     0.00000   -0.17212
     0.00036    0.63337
     0.00128    0.95859
     0.00257    1.03539
     0.00446    0.98460
     0.00739    0.85995
     0.01171    0.72861
     0.01815    0.61668
     0.02754    0.53579
     0.03948    0.44658
     0.05235    0.36190
     0.06557    0.31672
     0.07910    0.28184
     0.09275    0.23948
     0.10643    0.20425
     0.12012    0.17994
     0.13384    0.16003
     0.14766    0.14271
     0.16151    0.12293
     0.17536    0.10475
     0.18916    0.08728
     0.20291    0.07241
     0.21663    0.05936
     0.23046    0.04870
     0.24432    0.03704
     0.25824    0.02551
     0.27214    0.01522
     0.28596    0.00576
     0.29960   -0.00357
     0.31314   -0.01210
     0.32693   -0.01999
     0.34060   -0.02973
     0.35443   -0.03741
     0.36832   -0.04575
     0.38223   -0.05272
     0.39614   -0.05876
     0.41005   -0.06394
     0.42395   -0.06984
     0.43779   -0.07295
     0.45165   -0.07567
     0.46555   -0.07853
     0.47940   -0.07566
     0.49319   -0.07292
     0.50688   -0.06551
     0.52054   -0.05990
     0.53437   -0.05207
     0.54827   -0.04437
     0.56222   -0.03704
     0.57617   -0.02915
     0.59007   -0.02164
     0.60398   -0.01367
     0.61790   -0.00667
     0.63183   -0.00101
     0.64576    0.01221
     0.65968    0.03953
     0.67363    0.04829
     0.68758    0.05583
     0.70149    0.06319
     0.71528    0.07403
     0.72915    0.08317
     0.74302    0.09226
     0.75689    0.10103
     0.77081    0.11262
     0.78466    0.12287
     0.79849    0.13512
     0.81242    0.14693
     0.82637    0.15938
     0.84030    0.16896
     0.85425    0.17924
     0.86820    0.18722
     0.88207    0.19922
     0.89590    0.21181
     0.90970    0.22646
     0.92351    0.24067
     0.93727    0.25225
     0.95096    0.25712
     0.96452    0.25594
     0.97792    0.24493
     0.99065    0.22285
     1.00000    0.21168
