#      x          Cp  
     1.00000    0.23569
     0.99072    0.18036
     0.97797    0.15365
     0.96441    0.13064
     0.95067    0.11034
     0.93693    0.09223
     0.92316    0.07267
     0.90938    0.05378
     0.89560    0.03600
     0.88193    0.01753
     0.86823    0.00200
     0.85454   -0.01423
     0.84085   -0.02952
     0.82717   -0.04636
     0.81348   -0.06119
     0.79981   -0.07804
     0.78630   -0.09305
     0.77268   -0.10926
     0.75893   -0.12437
     0.74517   -0.13731
     0.73136   -0.15354
     0.71755   -0.16722
     0.70380   -0.18143
     0.69002   -0.19543
     0.67622   -0.20904
     0.66238   -0.22025
     0.64854   -0.23020
     0.63473   -0.23990
     0.62098   -0.25564
     0.60722   -0.29656
     0.59345   -0.30242
     0.57976   -0.31189
     0.56621   -0.32143
     0.55253   -0.33089
     0.53888   -0.34210
     0.52518   -0.35185
     0.51139   -0.36210
     0.49763   -0.37191
     0.48388   -0.37993
     0.47018   -0.38366
     0.45645   -0.38428
     0.44262   -0.38384
     0.42881   -0.37840
     0.41492   -0.37687
     0.40103   -0.37144
     0.38727   -0.36510
     0.37355   -0.36060
     0.35978   -0.35082
     0.34593   -0.34321
     0.33202   -0.33390
     0.31811   -0.32488
     0.30422   -0.31734
     0.29046   -0.30742
     0.27675   -0.29885
     0.26298   -0.28877
     0.24914   -0.27775
     0.23530   -0.26584
     0.22162   -0.25497
     0.20801   -0.24158
     0.19444   -0.22751
     0.18071   -0.20952
     0.16693   -0.19229
     0.15326   -0.17122
     0.13967   -0.15458
     0.12601   -0.13635
     0.11243   -0.11385
     0.09896   -0.08278
     0.08557   -0.03837
     0.07228    0.00429
     0.05913    0.03321
     0.04639    0.09598
     0.03408    0.21045
     0.02310    0.28989
     0.01491    0.36940
     0.00938    0.51925
     0.00567    0.67955
     0.00322    0.86301
     0.00170    1.01079
     0.00083    1.02758
     0.00026    0.91903
     0.00000    0.43352
     0.00036    0.08441
     0.00128    0.02230
     0.00257   -0.51664
     0.00446   -0.95733
     0.00739   -0.90742
     0.01171   -0.79214
     0.01815   -0.64003
     0.02754   -0.46070
     0.03948   -0.41227
     0.05235   -0.42480
     0.06557   -0.38900
     0.07910   -0.36138
     0.09275   -0.36390
     0.10643   -0.36388
     0.12012   -0.35425
     0.13384   -0.34440
     0.14766   -0.33540
     0.16151   -0.33411
     0.17536   -0.33313
     0.18916   -0.33361
     0.20291   -0.33237
     0.21663   -0.33038
     0.23046   -0.32645
     0.24432   -0.32523
     0.25824   -0.32474
     0.27214   -0.32351
     0.28596   -0.32212
     0.29960   -0.32146
     0.31314   -0.32044
     0.32693   -0.31898
     0.34060   -0.32045
     0.35443   -0.31953
     0.36832   -0.31982
     0.38223   -0.31871
     0.39614   -0.31682
     0.41005   -0.31422
     0.42395   -0.31277
     0.43779   -0.30821
     0.45165   -0.30347
     0.46555   -0.29907
     0.47940   -0.28809
     0.49319   -0.27774
     0.50688   -0.26201
     0.52054   -0.24901
     0.53437   -0.23330
     0.54827   -0.21804
     0.56222   -0.20346
     0.57617   -0.18815
     0.59007   -0.17343
     0.60398   -0.15757
     0.61790   -0.14235
     0.63183   -0.12649
     0.64576   -0.11094
     0.65968   -0.09582
     0.67363   -0.07920
     0.68758   -0.06292
     0.70149   -0.04748
     0.71528   -0.03043
     0.72915   -0.01500
     0.74302    0.00000
     0.75689    0.01466
     0.77081    0.03114
     0.78466    0.04671
     0.79849    0.06348
     0.81242    0.07993
     0.82637    0.09652
     0.84030    0.11105
     0.85425    0.12581
     0.86820    0.13927
     0.88207    0.15526
     0.89590    0.17176
     0.90970    0.18933
     0.92351    0.20617
     0.93727    0.22062
     0.95096    0.23034
     0.96452    0.23587
     0.97792    0.23601
     0.99065    0.23282
     1.00000    0.23569
