#      x          Cp  
     1.00000    0.20710
     0.99072    0.17790
     0.97797    0.15102
     0.96441    0.12460
     0.95067    0.09922
     0.93693    0.07491
     0.92316    0.05007
     0.90938    0.02550
     0.89560    0.00150
     0.88193   -0.02260
     0.86823   -0.04516
     0.85454   -0.06792
     0.84085   -0.09019
     0.82717   -0.11329
     0.81348   -0.13543
     0.79981   -0.15871
     0.78630   -0.18095
     0.77268   -0.20404
     0.75893   -0.22664
     0.74517   -0.24802
     0.73136   -0.27157
     0.71755   -0.29383
     0.70380   -0.31657
     0.69002   -0.33955
     0.67622   -0.36273
     0.66238   -0.38495
     0.64854   -0.40720
     0.63473   -0.42978
     0.62098   -0.45175
     0.60722   -0.47414
     0.59345   -0.49719
     0.57976   -0.52038
     0.56621   -0.54162
     0.55253   -0.56213
     0.53888   -0.58509
     0.52518   -0.60612
     0.51139   -0.62816
     0.49763   -0.65003
     0.48388   -0.67015
     0.47018   -0.68556
     0.45645   -0.69762
     0.44262   -0.70888
     0.42881   -0.71441
     0.41492   -0.72497
     0.40103   -0.73136
     0.38727   -0.73682
     0.37355   -0.74503
     0.35978   -0.74729
     0.34593   -0.75277
     0.33202   -0.75681
     0.31811   -0.76182
     0.30422   -0.76960
     0.29046   -0.77500
     0.27675   -0.78313
     0.26298   -0.79057
     0.24914   -0.79816
     0.23530   -0.80595
     0.22162   -0.81675
     0.20801   -0.82594
     0.19444   -0.83648
     0.18071   -0.84438
     0.16693   -0.85700
     0.15326   -0.86719
     0.13967   -0.88896
     0.12601   -0.91546
     0.11243   -0.94356
     0.09896   -0.96831
     0.08557   -0.98297
     0.07228   -1.01728
     0.05913   -1.11208
     0.04639   -1.18751
     0.03408   -1.20506
     0.02310   -1.42551
     0.01491   -1.83974
     0.00938   -2.13806
     0.00567   -2.58947
     0.00322   -2.83315
     0.00170   -2.32968
     0.00083   -1.33635
     0.00026   -1.08823
     0.00000   -1.21963
     0.00036    0.10806
     0.00128    0.74873
     0.00257    0.95545
     0.00446    1.03649
     0.00739    0.98293
     0.01171    0.87638
     0.01815    0.76435
     0.02754    0.66931
     0.03948    0.57317
     0.05235    0.48307
     0.06557    0.42965
     0.07910    0.38729
     0.09275    0.34047
     0.10643    0.30107
     0.12012    0.27235
     0.13384    0.24835
     0.14766    0.22731
     0.16151    0.20452
     0.17536    0.18359
     0.18916    0.16365
     0.20291    0.14640
     0.21663    0.13106
     0.23046    0.11815
     0.24432    0.10447
     0.25824    0.09104
     0.27214    0.07893
     0.28596    0.06772
     0.29960    0.05678
     0.31314    0.04669
     0.32693    0.03726
     0.34060    0.02615
     0.35443    0.01705
     0.36832    0.00736
     0.38223   -0.00095
     0.39614   -0.00833
     0.41005   -0.01483
     0.42395   -0.02201
     0.43779   -0.02644
     0.45165   -0.03046
     0.46555   -0.03462
     0.47940   -0.03315
     0.49319   -0.03181
     0.50688   -0.02580
     0.52054   -0.02155
     0.53437   -0.01503
     0.54827   -0.00859
     0.56222   -0.00246
     0.57617    0.00438
     0.59007    0.01097
     0.60398    0.01840
     0.61790    0.02539
     0.63183    0.03250
     0.64576    0.03866
     0.65968    0.04225
     0.67363    0.06503
     0.68758    0.08336
     0.70149    0.08945
     0.71528    0.09792
     0.72915    0.10509
     0.74302    0.11261
     0.75689    0.12003
     0.77081    0.13041
     0.78466    0.13953
     0.79849    0.15072
     0.81242    0.16149
     0.82637    0.17296
     0.84030    0.18155
     0.85425    0.19086
     0.86820    0.19785
     0.88207    0.20888
     0.89590    0.22046
     0.90970    0.23412
     0.92351    0.24733
     0.93727    0.25787
     0.95096    0.26153
     0.96452    0.25891
     0.97792    0.24588
     0.99065    0.22016
     1.00000    0.20710
