#      x          Cp  
     1.00000    0.23544
     0.99072    0.17780
     0.97797    0.15628
     0.96441    0.13707
     0.95067    0.11996
     0.93693    0.10471
     0.92316    0.08769
     0.90938    0.07125
     0.89560    0.05587
     0.88193    0.03968
     0.86823    0.02649
     0.85454    0.01252
     0.84085   -0.00047
     0.82717   -0.01502
     0.81348   -0.02750
     0.79981   -0.04198
     0.78630   -0.05457
     0.77268   -0.06827
     0.75893   -0.08072
     0.74517   -0.09082
     0.73136   -0.10395
     0.71755   -0.11405
     0.70380   -0.12395
     0.69002   -0.13278
     0.67622   -0.14216
     0.66238   -0.16692
     0.64854   -0.18936
     0.63473   -0.19497
     0.62098   -0.20264
     0.60722   -0.21135
     0.59345   -0.22071
     0.57976   -0.23015
     0.56621   -0.23805
     0.55253   -0.24511
     0.53888   -0.25369
     0.52518   -0.26039
     0.51139   -0.26743
     0.49763   -0.27388
     0.48388   -0.27845
     0.47018   -0.27883
     0.45645   -0.27620
     0.44262   -0.27251
     0.42881   -0.26401
     0.41492   -0.25915
     0.40103   -0.25052
     0.38727   -0.24098
     0.37355   -0.23308
     0.35978   -0.22012
     0.34593   -0.20907
     0.33202   -0.19626
     0.31811   -0.18356
     0.30422   -0.17204
     0.29046   -0.15816
     0.27675   -0.14532
     0.26298   -0.13081
     0.24914   -0.11514
     0.23530   -0.09835
     0.22162   -0.08217
     0.20801   -0.06338
     0.19444   -0.04352
     0.18071   -0.01962
     0.16693    0.00435
     0.15326    0.03236
     0.13967    0.05755
     0.12601    0.08547
     0.11243    0.11843
     0.09896    0.16008
     0.08557    0.21455
     0.07228    0.27065
     0.05913    0.32159
     0.04639    0.40308
     0.03408    0.52693
     0.02310    0.63657
     0.01491    0.75499
     0.00938    0.89415
     0.00567    1.00212
     0.00322    1.03113
     0.00170    0.89300
     0.00083    0.62980
     0.00026    0.14513
     0.00000   -1.48176
     0.00036   -1.82428
     0.00128   -1.47004
     0.00257   -2.25349
     0.00446   -2.74241
     0.00739   -2.34308
     0.01171   -1.82945
     0.01815   -1.40080
     0.02754   -1.04337
     0.03948   -0.90006
     0.05235   -0.84814
     0.06557   -0.75517
     0.07910   -0.68734
     0.09275   -0.66324
     0.10643   -0.64097
     0.12012   -0.61135
     0.13384   -0.58437
     0.14766   -0.56060
     0.16151   -0.54720
     0.17536   -0.53554
     0.18916   -0.52658
     0.20291   -0.51665
     0.21663   -0.50664
     0.23046   -0.49515
     0.24432   -0.48714
     0.25824   -0.48037
     0.27214   -0.47325
     0.28596   -0.46635
     0.29960   -0.46062
     0.31314   -0.45483
     0.32693   -0.44877
     0.34060   -0.44599
     0.35443   -0.44090
     0.36832   -0.43719
     0.38223   -0.43217
     0.39614   -0.42648
     0.41005   -0.42017
     0.42395   -0.41512
     0.43779   -0.40700
     0.45165   -0.39875
     0.46555   -0.39082
     0.47940   -0.37631
     0.49319   -0.36241
     0.50688   -0.34323
     0.52054   -0.32684
     0.53437   -0.30782
     0.54827   -0.28934
     0.56222   -0.27161
     0.57617   -0.25327
     0.59007   -0.23560
     0.60398   -0.21692
     0.61790   -0.19892
     0.63183   -0.18039
     0.64576   -0.16224
     0.65968   -0.14456
     0.67363   -0.12552
     0.68758   -0.10688
     0.70149   -0.08909
     0.71528   -0.06991
     0.72915   -0.05231
     0.74302   -0.03518
     0.75689   -0.01841
     0.77081   -0.00001
     0.78466    0.01753
     0.79849    0.03607
     0.81242    0.05428
     0.82637    0.07250
     0.84030    0.08881
     0.85425    0.10522
     0.86820    0.12048
     0.88207    0.13789
     0.89590    0.15568
     0.90970    0.17424
     0.92351    0.19195
     0.93727    0.20732
     0.95096    0.21841
     0.96452    0.22575
     0.97792    0.22859
     0.99065    0.22899
     1.00000    0.23544
